2017-10-30 17:02:25.071190: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-10-30 17:02:25.071306: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
Current Best Correlation : 0.955154823486839
(300,)
(300,)
#2 Sample
Pos : -69.86 69.86        | Predict  : 292.19598388671875  |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 300.0144958496094   |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 302.2154846191406   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 297.42791748046875  |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 298.31494140625     |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 304.1072998046875   |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 294.31549072265625  |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 297.2916564941406   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 297.8661193847656   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 295.51678466796875  |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 288.0052490234375   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 295.77496337890625  |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 298.96826171875     |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 298.2735290527344   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 316.1895751953125   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 302.5207214355469   |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 314.2320861816406   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 308.6706848144531   |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 310.478515625       |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 311.8496398925781   |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 310.42120361328125  |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 305.6944274902344   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 308.1805419921875   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 298.0688781738281   |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 292.76690673828125  |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 296.4167785644531   |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 306.9532470703125   |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 296.0609130859375   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 301.79815673828125  |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 300.9212951660156   |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 300.7666931152344   |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 295.9704284667969   |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 303.3451843261719   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 292.16748046875     |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 298.84423828125     |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 304.06195068359375  |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 296.3980712890625   |  Target 296.22418212890625
